name,username,description,location,followers,numberstatuses,time,tweets,Unnamed: 8,Sentiment
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 21:07,ENGLISH TRANSLATION: 'A MESSAGE TO THE TRUTHFUL IN SYRIA - SHEIKH ABU MUHAMMED AL MAQDISI: http://t.co/73xFszsjvr http://t.co/x8BZcscXzq,,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 21:27,"ENGLISH TRANSLATION: SHEIKH FATIH AL JAWLANI 'FOR THE PEOPLE OF INTEGRITY, SACRIFICE IS  EASY' http://t.co/uqqzXGgVTz http://t.co/A7nbjwyHBr",,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 21:29,ENGLISH TRANSLATION: FIRST AUDIO MEETING WITH SHEIKH FATIH AL JAWLANI (HA): http://t.co/TgXT1GdGw7 http://t.co/ZuE8eisze6,,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 21:37,"ENGLISH TRANSLATION: SHEIKH NASIR AL WUHAYSHI (HA), LEADER OF AQAP: 'THE PROMISE OF VICTORY': http://t.co/3qg5dKlIwr http://t.co/7bqk1wJAzC",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 21:45,ENGLISH TRANSLATION: AQAP: 'RESPONSE TO SHEIKH BAGHDADIS STATEMENT 'ALTHOUGH THE DISBELIEVERS DISLIKE IT.' http://t.co/2EYm9EymTe,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 21:51,THE SECOND CLIP IN A DA'WAH SERIES BY A SOLDIER OF JN: Video Link :http://t.co/EPaPRlph5W http://t.co/4VUYszairt,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 22:04,ENGLISH TRANSCRIPT : OH MURABIT! : http://t.co/hujLj9KGkG http://t.co/t9IxMtBVGK,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 22:06,ENGLISH TRANSLATION: 'A COLLECTION OF THE WORDS OF THE U'LAMA REGARDING DAWLAH': http://t.co/AJbayWNxDQ http://t.co/mAycbhaUzH,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 22:17,Aslm Please share our new account after the previous one was suspended.@KhalidMaghrebi @seifulmaslul123 @CheerLeadUnited,,Negative
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/10/2015 0:05,ENGLISH TRANSLATION: AQAP STATEMENT REGARDING THE BLESSED RAID IN FRANCE:http://t.co/qvErFO25Qj http://t.co/YIcnGMVjiX,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/10/2015 0:08,@KhalidMaghrebi @seifulmaslul123 @CheerLeadUnited @IbnNabih1,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/12/2015 23:10,"NEW LINK, AFTER PREVIOUS ONE TAKEN DOWN:AQAP-'THE FACES HAVE BEEN BRIGHTENED' -REGARDING THE BLESSED ATTACK IN FRANCE http://t.co/RaLSnPd547",,Negative
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/22/2015 20:14,ENGLISH TRANSLATION- SHEIKH ABU HASAN AL KUWAITI (HA) ADVICE OF NABI S.A.W TO THE MUJAHIDEEN: https://t.co/QcKBdeCdty http://t.co/SUDbVtQtTG,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/22/2015 20:47,"SHEIKH ABU HASSAN AL KUWAITI (HA): ADVICE OF NABI SAW TO THE MUJAHIDEEN: 
http://t.co/bJ24uNFNIT http://t.co/99nsW0Nzxa",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/9/2015 10:54,@IbnNabih1 @MuwMedia @Dawlat_islam7 Not translating it either.,,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/12/2015 13:03,"Aslm, anybody translating the new JN video? Will translate it if  nobody else is @IbnNabih1 @KhalidMaghrebi_ @MuwMedia @Polder_Mujahid",,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/12/2015 13:11,@IbnNabih1 @KhalidMaghrebi_ @MuwMedia @Polder_Mujahid So we will translate it then inshallah let us knw if anybody is available for the subs,,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/16/2015 15:57,"@IbnNabih1 @abuw_ukasyah @polder_mujaahid @AbuIzzadeen2 @MuwMedia  half way through, a few more days inshallah, been very busy.",,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/20/2015 16:28,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid  Aslm, we have completed the translation with the exception of a few news",,Negative
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/20/2015 16:29,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid reports and words of the Syrian people, will have that completed by tomorrow",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/20/2015 16:30,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid  inshallah. Should we still finish it, or not?",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/26/2015 20:36,"NEW links for #JN Video - ENG Subs: The Path of Salvation :
WATCH:
http://t.co/1hLwtP3XOd
http://t.co/jcviGUdedv http://t.co/SzOgGMvPMI",,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/26/2015 20:40,"DOWNLOAD #JN Video With English Subtitles: The Path of Salvation #سبيل_النجاة
https://t.co/HGZPYIAsw0 http://t.co/50UpXYFTwO",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,2/28/2015 23:35,"Video by @ansardeenfront with Eng Subtitles: 'Save Aleppo' 
WATCH: http://t.co/RjuFazPf0S 
DOWNLOAD: http://t.co/5Q0Ye0njKR
@a8531",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,3/4/2015 7:31,"ENGLISH TRANSLATION: A Pamphlet Released By #JN Regarding #IS 
Group of ‘Dawlah’ and the Islamic Ruling Regarding it
http://t.co/BykvOiIN2Z",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,4/1/2015 13:18,"Aslm, anybody translating the new audio of Sheikh Jawlani? Will do it if no one else is.@IbnNabih1 @Emerat_AQ_islam @_KhalidMaghrebi",,Positive
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,5/13/2015 21:16,"@abuhamzaneh @50W30 @JN_Irhabiyya_97 @Aba_M0hammed Aslm, Will do it inshallah",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,5/29/2015 9:53,"RT @GIIMedia_CH004: Rules Of Imarah Part2 - Conditions of Imamah
https://t.co/Ga9SUS308a
Introductions And Definitions 
English Translation…",,Neutral
GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,6/3/2015 11:16,"ENGLISH TRANSLATION: Dialogue with Sheikh Tartoosi Part 2 
 http://t.co/AoAuRoTs5y",,Neutral
Abu Layth Al Hindi,AbuLaythAlHindi,Kik: abulayth2014. Ex South African. Currently in shaam under the khilafa. And to Allāh belongs all Glory and praise.,Islamic State,68,18,7/7/2015 6:02,"‍‌‌‌‌‍‌‌‌🔻‌‌[ الإثنين  1436/9/19 هـ ]‍‌‌‌‌‍‍‍‍‌🔺‌
النّشرة صوتيّة | ‍‌‌‌‌‍‌‍‍‍‌🔊‌‌ و مكتوبة | 
https://t.co/g4vz77lEVt
#دولة_الخلافة",,Neutral
Abu Layth Al Hindi,AbuLaythAlHindi,Kik: abulayth2014. Ex South African. Currently in shaam under the khilafa. And to Allāh belongs all Glory and praise.,Islamic State,68,18,8/17/2015 20:20,#BREAKING #CONFIRMED Islamic State takes control of al-Jusiya border post linking Jurud al-Qaa in Lebanon to Qusayr in Homs countryside,,Positive
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/26/2015 17:23,Salamu Alaykum. I'm back. Do supports and spread my new account. Barakallahu Feekum http://t.co/wXpW7vGXdw,,Positive
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/26/2015 17:24,@YazeedDhardaa25 cc @ibn_nuhas @Jazrawi_Uod @striv3ride @AfroQaqaisback,,Neutral
abu baker aldimashqi,abubakerdimshqi,,,112,273,8/28/2015 23:08,"best generation ever, TAKBIRRR #IS #Dawlah #cubs https://t.co/N9iwCfnMzT",,Positive
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 4:33,@baqiya58 Jazakallahu akhi,,Neutral
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 4:33,@umulbanat1 Jazakallahu ukh,,Neutral
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 4:34,@AlJabarti22 Jazakallahu akh,,Neutral
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 4:34,@UmmAysha20___ Jazakallahu ukhti @Abtigood @AsadAlKanadi10,,Neutral
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 4:35,@BintRose33 Jazakallahu ukhti @AbuHaleema28 @skxxx50 @Abtigood @_Muslimah1___ @JasonPhedo @AlJabali23 @AbdullahKayaNIW @CheckContentt,,Neutral
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 20:16,@Skxx51 Actually he has been changed drastically after IS took a revenged and encircled them in DEZ @striv3ric @War_Reports (1),,Neutral
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 20:17,@Skxx51 he can't accept the mubahala between Sh Adnani &amp; Abu Abdullah Shami where the truth is on IS @striv3ric @War_Reports (2),,Neutral
ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 20:20,@Skxx51 If all of you remember his tweets from his first acc he used to support IS and made a clarification the @striv3ric @War_Reports(3),,Positive
